method,year,observed_mean,simulated_mean,mean_absolute_error,mass_absolute_error,mass_relative_error,relative_l2,correlation,support_dice_005,support_dice_010,support_fn_005,support_fn_010,support_fnr_005,support_fnr_010,support_fp_005,support_fp_010,support_fpr_005,support_fpr_010,support_observed_fraction_005,support_observed_fraction_010,support_simulated_fraction_005,support_simulated_fraction_010,support_tn_005,support_tn_010,support_tp_005,support_tp_010,support_tversky_005,support_tversky_010
rk4,2016,0.03587703631177396,0.03587703631177396,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09310058187863675,0.06871709614851759,0.09310058187863675,0.06871709614851759,3273.0,3361.0,336.0,248.0,1.0,1.0
rk4,2017,0.048012930573890486,0.04890768597713673,0.030003759121543204,0.000894755403246246,0.01863571734807164,0.5919502710092415,0.7969262332324973,0.7404505386875612,0.7166882276843467,102.0,95.0,0.2125,0.2553763440860215,163.0,124.0,0.05209332054969639,0.03830707445165277,0.13300083125519535,0.10307564422277639,0.14990302022720975,0.1111111111111111,2966.0,3113.0,378.0,277.0,0.7585791691751957,0.7276070396637773
rk4,2018,0.03929042881291467,0.06910338772674106,0.045130032432558184,0.02981295891382639,0.7587842590119087,0.8167963536549815,0.7501896806321718,0.6517040731504572,0.5833333333333334,54.0,60.0,0.1210762331838565,0.18404907975460122,365.0,320.0,0.115396775213405,0.0974718245507158,0.12357993904128567,0.09032973122748685,0.20975339429204765,0.1623718481573843,2798.0,2963.0,392.0,266.0,0.7268681624327833,0.6584158415841584
rk4,2019,0.032222019201037,0.09723279289357974,0.07346165633974566,0.06501077369254274,2.0175884473569217,1.4179425648425907,0.6637564324379782,0.5887978142076503,0.48717948717948717,19.0,36.0,0.042222222222222223,0.11920529801324503,583.0,524.0,0.18455207344096233,0.15845176897490174,0.12468827930174564,0.08367968966472707,0.2809642560266002,0.21889720144084235,2576.0,2783.0,431.0,266.0,0.6960594315245479,0.5932203389830509
rk4,2020,0.026176207256656744,0.13400924835906247,0.11263629076413403,0.10783304110240573,4.1195059330401556,2.9463412448538127,0.635404591084825,0.5371428571428571,0.4419970631424376,19.0,14.0,0.03885480572597137,0.044444444444444446,791.0,746.0,0.253525641025641,0.22647237401335762,0.13549459684123025,0.08728179551122195,0.3494042671100028,0.29010806317539484,2329.0,2548.0,470.0,301.0,0.6522342492367472,0.5630377852600076
rk4,2021,0.025806044062037608,0.17960580448675484,0.15612174439667584,0.15379976042471724,5.959834837490919,3.655083127275908,0.5711781511284836,0.4887330996494742,0.36409290646578785,0.0,4.0,0.0,0.013605442176870748,1021.0,1009.0,0.32713873758410766,0.30437405731523376,0.13521751177611527,0.08146300914380715,0.41812136325852034,0.35993349958437243,2100.0,2306.0,488.0,290.0,0.6143774392546897,0.4869857262804366
rk4,2022,0.03295641449284272,0.23340613992027978,0.2025418715625842,0.20044972542743705,6.082267397895705,3.309708657909941,0.5278219029634968,0.435197225834417,0.3538135593220339,16.0,12.0,0.03088803088803089,0.03468208092485549,1287.0,1208.0,0.41637010676156583,0.370211461844928,0.14353006372956498,0.09587143252978664,0.49570518149071763,0.42726517040731504,1804.0,2055.0,502.0,334.0,0.5582119426220394,0.47389330306469923
rk4,2023,0.014635740621863567,0.29408428655559726,0.2799821261382878,0.2794485459337337,19.09357053630662,7.2816164209256105,0.33623737100643886,0.24523396880415946,0.16482412060301507,0.0,3.0,0.0,0.017964071856287425,1742.0,1659.0,0.523752254960914,0.4819872167344567,0.07841507342754225,0.04627320587420338,0.5610972568578554,0.5051260737046274,1584.0,1783.0,283.0,164.0,0.3512909632571996,0.2470623681831877
pinn,2016,0.03587703631177396,0.035869921287102674,0.012455500563801134,7.1150246712878285e-06,0.00019831695709922773,0.2518441291257684,0.9659161471647286,0.7091988130563798,0.7755905511811023,97.0,51.0,0.28869047619047616,0.2056451612903226,99.0,63.0,0.03024747937671861,0.018744421303183576,0.09310058187863675,0.06871709614851759,0.09365475200886672,0.07204211692989748,3174.0,3298.0,239.0,197.0,0.7100415923945337,0.7829888712241654
pinn,2017,0.048012930573890486,0.031513550153926366,0.029821921661730193,0.01649938041996412,0.3436445187245635,0.6207017879060618,0.7702273935664993,0.6369426751592356,0.6312292358803987,230.0,182.0,0.4791666666666667,0.489247311827957,55.0,40.0,0.01757750079897731,0.01235712079085573,0.13300083125519535,0.10307564422277639,0.08451094486007205,0.06372956497644777,3074.0,3197.0,250.0,190.0,0.5847953216374269,0.5768063145112325
